Tên,Tên quốc tế,Tên viết tắt,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng
CÔNG TY TNHH SỰ KIỆN & DU LỊCH LỮ HÀNH QUỐC TẾ HIGH FLY,HIGH FLY INTERNATIONAL TRAVEL & EVENTS COMPANY LIMITED,"HIGH FLY INTERNATIONAL TRAVEL & EVENTS CO., LTD",0318671708,"33H/3 Đường 28, Phường Cát Lái, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","CHÂU KỲ THỊNH ( sinh năm 1995 - Bình Định) Ẩn thông tin
Ngoài ra CHÂU KỲ THỊNH còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH DU LỊCH LỮ HÀNH QUỐC TẾ BẦU TRỜI MỚI TẠI KHÁNH HÒA",0938584581,2024-09-16,Chi cục Thuế thành phố Thủ Đức,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SỰ KIỆN & DU LỊCH LỮ HÀNH QUỐC TẾ HIGH FLY,HIGH FLY INTERNATIONAL TRAVEL & EVENTS COMPANY LIMITED,"HIGH FLY INTERNATIONAL TRAVEL & EVENTS CO., LTD",0318671708,"33H/3 Đường 28, Phường Cát Lái, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","CHÂU KỲ THỊNH ( sinh năm 1995 - Bình Định) Ẩn thông tin
Ngoài ra CHÂU KỲ THỊNH còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH DU LỊCH LỮ HÀNH QUỐC TẾ BẦU TRỜI MỚI TẠI KHÁNH HÒA",0938584581,2024-09-16,Chi cục Thuế thành phố Thủ Đức,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SỰ KIỆN & DU LỊCH LỮ HÀNH QUỐC TẾ HIGH FLY,HIGH FLY INTERNATIONAL TRAVEL & EVENTS COMPANY LIMITED,"HIGH FLY INTERNATIONAL TRAVEL & EVENTS CO., LTD",0318671708,"33H/3 Đường 28, Phường Cát Lái, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","CHÂU KỲ THỊNH ( sinh năm 1995 - Bình Định) Ẩn thông tin
Ngoài ra CHÂU KỲ THỊNH còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH DU LỊCH LỮ HÀNH QUỐC TẾ BẦU TRỜI MỚI TẠI KHÁNH HÒA",0938584581,2024-09-16,Chi cục Thuế thành phố Thủ Đức,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI VÂN THỊNH PHÁT,VAN THINH PHAT TRANSPORTATION TRADING COMPANY LIMITED,CÔNG TY TNHH TM VT VÂN THỊNH PHÁT,0318671384,"1537 Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",LÊ MINH HẢI ( sinh năm 1988 - An Giang) Ẩn thông tin,0567 142 142,2024-09-16,Chi cục Thuế thành phố Thủ Đức,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH GIÁO DỤC VÀ ĐẦU TƯ CKG VIỆT NAM,CKG VIET NAM INVESTMENT AND EDUCATION COMPANY LIMITED,"CKG VIET NAM INVESTMENT AND EDUCATION CO., LTD",0318673342,"179/19 Tăng Nhơn Phú, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN QUANG DŨNG ( sinh năm 1992 - Hà Tĩnh) Ẩn thông tin
Ngoài ra NGUYỄN QUANG DŨNG còn đại diện các doanh nghiệp:
CÔNG TY TNHH CK VINA",0933687436,2024-09-17,Chi cục Thuế thành phố Thủ Đức,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH TMDV PHI HÙNG VN,PHI HUNG VN TMDV COMPANY LIMITED,"PHI HUNG VN TMDV CO.,LTD",0318670817,"Số 132 Đường 1, Phường Long Trường, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",LA PHI HÙNG ( sinh năm 1994 - Phú Yên) Ẩn thông tin,0899120716,2024-09-16,Chi cục Thuế thành phố Thủ Đức,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ LAM YÊN,LAM YEN INVESTMENT TRADING SERVICES COMPANY LIMITED,"LAM YEN INVESTMENT TRADING SERVICES CO.,LTD",0318670422,"32/2A Đường số 8, Khu phố 9, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",NGUYỄN THỊ THỦY TIÊN,0866864879,2024-09-16,Chi cục Thuế thành phố Thủ Đức,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH DỊCH VỤ CARE247,LAM YEN INVESTMENT TRADING SERVICES COMPANY LIMITED,"LAM YEN INVESTMENT TRADING SERVICES CO.,LTD",0318669829,"Tầng 3, Tòa nhà Long Vân, số 37/2/6 Đường 12, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",NGUYỄN VĂN NHÂN ( sinh năm 1987 - Cà Mau) Ẩn thông tin,0916475570,2024-09-16,Chi cục Thuế thành phố Thủ Đức,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH NHÀ MÁY SX DƯỢC MỸ PHẨM - TRANG THIẾT BỊ Y TẾ LAPKOREA,LAPKOREA MEDICAL EQUIPMENT - COSMETIC PHARMA SX FACTORY COMPANY LIMITED,"LAPKOREA MEDICAL EQUIPMENT - COSMETIC PHARMA SX FACTORY CO.,LTD",0318668173,"2B9/2, Ấp 2, Xã Phạm Văn Hai, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam","VÕ HUỲNH PHƯƠNG LINH ( sinh năm 1991 - Hồ Chí Minh) Ẩn thông tin
Ngoài ra VÕ HUỲNH PHƯƠNG LINH còn đại diện các doanh nghiệp:
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MỸ PHẨM PHƯƠNG LINH",0779988355,2024-09-13,Chi cục Thuế Huyện Bình Chánh,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH LLP PETRO REFINERY,LLP PETRO REFINERY COMPANY LIMITED,"LLP PETRO REFINERY CO., LTD",0318669057,"456 Phạm Văn Sáng, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN THỊ THUÝ QUỲNH ( sinh năm 1987 - Tây Ninh) Ẩn thông tin
Ngoài ra NGUYỄN THỊ THUÝ QUỲNH còn đại diện các doanh nghiệp:
CÔNG TY TNHH G-LEONARD",0589355335,2024-09-13,Chi cục Thuế Huyện Bình Chánh,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XÂY DỰNG VẬN TẢI TÂN XUÂN THÀNH,LLP PETRO REFINERY COMPANY LIMITED,"LLP PETRO REFINERY CO., LTD",0318669924,"588/77 Đỗ Đình Nhân, Xã Trung Lập Hạ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam","TRẦN HỒNG NHUNG ( sinh năm 1991 - Thái Nguyên) Ẩn thông tin
Ngoài ra TRẦN HỒNG NHUNG còn đại diện các doanh nghiệp:
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LUÂN ĐOÀN
CÔNG TY TNHH VẬN TẢI VISION LOGISTICS
CÔNG TY TNHH XÂY DỰNG - VẬN TẢI PHONG PHÚ
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ GLOBAL SOLUTIONS
CÔNG TY TNHH DỊCH VỤ VẬN TẢI HOÀNG MINH TÂN
CÔNG TY TNHH DỊCH VỤ XÂY DỰNG VẬN TẢI THÁI HOÀNG
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG ĐỨC KHA
CÔNG TY TNHH DỊCH VỤ XÂY DỰNG VẬN TẢI HOÀNG THIÊN
CÔNG TY TNHH XÂY DỰNG VẬN TẢI HẠO THY
CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN THƯƠNG MẠI DỊCH VỤ SẮC MINH
CÔNG TY TNHH XÂY DỰNG VẬN TẢI HÙNG NHẠN
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MINI BEST
CÔNG TY TNHH XÂY DỰNG - VẬN TẢI ĐĂNG MINH
CÔNG TY TNHH XÂY DỰNG LINH BÍCH
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THANH QUỲNH
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MỘC HẢI
CÔNG TY TNHH XÂY DỰNG - VẬN TẢI THIÊN LÝ",0582941198,2024-09-16,Chi cục Thuế Huyện Củ Chi,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH PT VÀ ĐT TRỌNG HIẾU,LLP PETRO REFINERY COMPANY LIMITED,"LLP PETRO REFINERY CO., LTD",0318671585,"17 Nguyễn Quý Cảnh , Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TRẦN TRỌNG HIẾU ( sinh năm 1997 - Tiền Giang) Ẩn thông tin,0961713762,2024-09-16,Chi cục Thuế thành phố Thủ Đức,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN INFIASIA VIỆT NAM,INFIASIA VIETNAM JOINT STOCK COMPANY,INFIASIA,0318672099,"D4 Khu Biệt thự Thủ Đức Garden Homes, Đường số 3, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","VŨ TRƯỜNG GIANG ( sinh năm 1982 - Hải Phòng) Ẩn thông tin
Ngoài ra VŨ TRƯỜNG GIANG còn đại diện các doanh nghiệp:
CÔNG TY TNHH CÔNG NGHỆ VOLTA VIỆT NAM",0901347239,2024-09-17,Chi cục Thuế thành phố Thủ Đức,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SỰ KIỆN TRUYỀN THÔNG GIẢI TRÍ DORII PRO,INFIASIA VIETNAM JOINT STOCK COMPANY,INFIASIA,0318670486,"160 Hồ Văn Huê, Phường 09, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",LÊ THỊ HUYỀN ( sinh năm 1987 - Thanh Hóa) Ẩn thông tin,0976575796,2024-09-16,Chi cục Thuế Quận Phú Nhuận,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THỰC PHẨM VÀ NÔNG SẢN TÍ CÒI,INFIASIA VIETNAM JOINT STOCK COMPANY,INFIASIA,0318670493,"667 Nguyễn Văn Khạ, Xã Nhuận Đức, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",LÊ THIÊN TRÀ ( sinh năm 1996 - Hà Nội) Ẩn thông tin,0944117428,2024-09-16,Chi cục Thuế Huyện Củ Chi,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MAY MẶC PHƯỢNG DƯƠNG,INFIASIA VIETNAM JOINT STOCK COMPANY,INFIASIA,0318670503,"2/105B, tổ 9, ấp Đình, Xã Tân Xuân, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",DƯƠNG THỊ PHƯỢNG ( sinh năm 1973 - Phú Yên) Ẩn thông tin,0351476854,2024-09-16,Chi cục Thuế khu vực Quận 12 - huyện Hóc Môn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI TIỂU NAM SALACA,INFIASIA VIETNAM JOINT STOCK COMPANY,INFIASIA,0318670535,"509 Nguyễn Thị Rành, Xã Nhuận Đức, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",LÊ TRUNG DŨNG ( sinh năm 1989 - Hà Nội) Ẩn thông tin,0788831409,2024-09-16,Chi cục Thuế Huyện Củ Chi,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH ÁNH SÁNG TIẾN ĐẠT,TIEN DAT LIGHT COMPANY LIMITED,INFIASIA,0318670528,"212 Nguyễn Oanh , Phường 17, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",TRẦN MẠNH HÀO ( sinh năm 1979 - Nam Định) Ẩn thông tin,0938 112 774,2024-09-16,Chi cục Thuế Quận Gò Vấp,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH INSPIRATION MEDIA ADVERTISING,INSPIRATION MEDIA ADVERTISING COMPANY LIMITED,"INSPIRATION MEDIA ADVERTISING CO., LTD",0318670895,"23A Lê Thúc Hoạch, Phường Phú Thọ Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",LÊ NGUYỄN QUỲNH ANH ( sinh năm 1995 - Đồng Nai) Ẩn thông tin,0941335985,2024-09-16,Chi cục thuế Quận Tân phú,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THIÊN LỘC SG PLASTIC,THIEN LOC SG PLASTIC COMPANY LIMITED,"THIEN LOC SG PLASTIC CO., LTD",0318670542,"C11/25 Phạm Hùng, Ấp 5, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",NGUYỄN THỊ THANH HƯƠNG ( sinh năm 1980 - Nam Định) Ẩn thông tin,0964506621,2024-09-16,Chi cục Thuế Huyện Bình Chánh,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
